image,label,stage
train/0000048549557964.jpg,train/label/0000048549557964.txt,train
train/0000599864fd15b3.jpg,train/label/0000599864fd15b3.txt,train
train/00009e5b390986a0.jpg,train/label/00009e5b390986a0.txt,train
train/00010bf498b64bab.jpg,train/label/00010bf498b64bab.txt,train
train/00013f14dd4e168f.jpg,train/label/00013f14dd4e168f.txt,train
train/000228608388803f.jpg,train/label/000228608388803f.txt,train
train/0002a5b67e5f0909.jpg,train/label/0002a5b67e5f0909.txt,train
train/0002f9c7fac5f093.jpg,train/label/0002f9c7fac5f093.txt,train
train/00041cc3701f7805.jpg,train/label/00041cc3701f7805.txt,train
train/00043e7c5c4c025a.jpg,train/label/00043e7c5c4c025a.txt,train
train/0004d295cfb46842.jpg,train/label/0004d295cfb46842.txt,train
train/0005ea10e0e14db1.jpg,train/label/0005ea10e0e14db1.txt,train
train/0006dc0977056410.jpg,train/label/0006dc0977056410.txt,train
train/00071c51c8e92a68.jpg,train/label/00071c51c8e92a68.txt,train
train/00072b81abc72d21.jpg,train/label/00072b81abc72d21.txt,train
train/000780f791b71252.jpg,train/label/000780f791b71252.txt,train
train/0007870724402b51.jpg,train/label/0007870724402b51.txt,train
train/0007a0f32cb0a641.jpg,train/label/0007a0f32cb0a641.txt,train
train/0007eeeabf3c5e5c.jpg,train/label/0007eeeabf3c5e5c.txt,train
train/000812dcf304a8e7.jpg,train/label/000812dcf304a8e7.txt,train
train/000823c3bde83d9a.jpg,train/label/000823c3bde83d9a.txt,train
train/000883b46adeca7e.jpg,train/label/000883b46adeca7e.txt,train
train/000924a411c24d25.jpg,train/label/000924a411c24d25.txt,train
train/0009b74be294a699.jpg,train/label/0009b74be294a699.txt,train
train/0009c4ddcaab18d3.jpg,train/label/0009c4ddcaab18d3.txt,train
train/0009da46ef64adb7.jpg,train/label/0009da46ef64adb7.txt,train
train/000d2e3d33b18463.jpg,train/label/000d2e3d33b18463.txt,train
train/000e7c5f11d82f1a.jpg,train/label/000e7c5f11d82f1a.txt,train
train/000e83dc68db5ca8.jpg,train/label/000e83dc68db5ca8.txt,train
train/000f52302c1341eb.jpg,train/label/000f52302c1341eb.txt,train
train/00103aa8df33633a.jpg,train/label/00103aa8df33633a.txt,train
train/001065dbc46c29c8.jpg,train/label/001065dbc46c29c8.txt,train
train/0010f4c10f7ab07e.jpg,train/label/0010f4c10f7ab07e.txt,train
train/00118c8deaacd309.jpg,train/label/00118c8deaacd309.txt,train
train/0011d11a6a5ab5ad.jpg,train/label/0011d11a6a5ab5ad.txt,train
train/00121be7c1e76f83.jpg,train/label/00121be7c1e76f83.txt,train
train/0013cf20040cbc04.jpg,train/label/0013cf20040cbc04.txt,train
train/0013d97a44c586c0.jpg,train/label/0013d97a44c586c0.txt,train
train/001475bfa657169d.jpg,train/label/001475bfa657169d.txt,train
train/0014e05dcc74d3f3.jpg,train/label/0014e05dcc74d3f3.txt,train
train/0015ed86d644a332.jpg,train/label/0015ed86d644a332.txt,train
train/001609bdf7825870.jpg,train/label/001609bdf7825870.txt,train
train/00166578c691cd43.jpg,train/label/00166578c691cd43.txt,train
train/001679a19bb6fd3f.jpg,train/label/001679a19bb6fd3f.txt,train
train/0016bd822c0a9511.jpg,train/label/0016bd822c0a9511.txt,train
train/00179ef6f55e4ba6.jpg,train/label/00179ef6f55e4ba6.txt,train
train/0017a0a426304fb8.jpg,train/label/0017a0a426304fb8.txt,train
train/0018de9fa4e49d68.jpg,train/label/0018de9fa4e49d68.txt,train
train/0018e004f5cac5e0.jpg,train/label/0018e004f5cac5e0.txt,train
train/00192c1070c51ae3.jpg,train/label/00192c1070c51ae3.txt,train
train/0019e7c9ee9bb6f3.jpg,train/label/0019e7c9ee9bb6f3.txt,train
train/001a252aa4b450e8.jpg,train/label/001a252aa4b450e8.txt,train
train/001bdbbf7a3ac993.jpg,train/label/001bdbbf7a3ac993.txt,train
train/001bebecea382500.jpg,train/label/001bebecea382500.txt,train
train/001ca84e28488f7a.jpg,train/label/001ca84e28488f7a.txt,train
train/001cdd25e148cd36.jpg,train/label/001cdd25e148cd36.txt,train
train/001ce8701d70e3f0.jpg,train/label/001ce8701d70e3f0.txt,train
train/001d5341337eecf7.jpg,train/label/001d5341337eecf7.txt,train
