image,label,stage
train2017\000000391895.jpg,391895,train
train2017\000000522418.jpg,522418,train
train2017\000000184613.jpg,184613,train
train2017\000000318219.jpg,318219,train
train2017\000000554625.jpg,554625,train
train2017\000000574769.jpg,574769,train
train2017\000000060623.jpg,60623,train
train2017\000000309022.jpg,309022,train
train2017\000000005802.jpg,5802,train
train2017\000000222564.jpg,222564,train
train2017\000000118113.jpg,118113,train
train2017\000000193271.jpg,193271,train
train2017\000000224736.jpg,224736,train
train2017\000000483108.jpg,483108,train
train2017\000000403013.jpg,403013,train
train2017\000000374628.jpg,374628,train
train2017\000000328757.jpg,328757,train
train2017\000000384213.jpg,384213,train
train2017\000000293802.jpg,293802,train
train2017\000000086408.jpg,86408,train
train2017\000000372938.jpg,372938,train
train2017\000000386164.jpg,386164,train
train2017\000000223648.jpg,223648,train
train2017\000000204805.jpg,204805,train
train2017\000000113588.jpg,113588,train
train2017\000000384553.jpg,384553,train
train2017\000000337264.jpg,337264,train
train2017\000000368402.jpg,368402,train
train2017\000000012448.jpg,12448,train
train2017\000000079841.jpg,79841,train
train2017\000000515289.jpg,515289,train
train2017\000000562150.jpg,562150,train
train2017\000000542145.jpg,542145,train
train2017\000000412151.jpg,412151,train
train2017\000000579003.jpg,579003,train
train2017\000000540186.jpg,540186,train
train2017\000000242611.jpg,242611,train
train2017\000000051191.jpg,51191,train
train2017\000000269105.jpg,269105,train
train2017\000000294832.jpg,294832,train
train2017\000000462565.jpg,462565,train
train2017\000000144941.jpg,144941,train
train2017\000000173350.jpg,173350,train
train2017\000000060760.jpg,60760,train
train2017\000000324266.jpg,324266,train
train2017\000000166532.jpg,166532,train
val2017\000000013729.jpg,13729,val
val2017\000000391140.jpg,391140,val
val2017\000000157046.jpg,157046,val
val2017\000000384527.jpg,384527,val
val2017\000000478721.jpg,478721,val
val2017\000000033759.jpg,33759,val
val2017\000000098287.jpg,98287,val
val2017\000000158227.jpg,158227,val
val2017\000000407646.jpg,407646,val
val2017\000000220310.jpg,220310,val
val2017\000000512403.jpg,512403,val
val2017\000000168974.jpg,168974,val
val2017\000000552775.jpg,552775,val
val2017\000000394940.jpg,394940,val
val2017\000000015335.jpg,15335,val
