image,label,stage
images\000000.png,labels\000000.txt,val
images\000001.png,labels\000001.txt,train
images\000002.png,labels\000002.txt,train
images\000003.png,labels\000003.txt,train
images\000004.png,labels\000004.txt,train
images\000005.png,labels\000005.txt,train
images\000006.png,labels\000006.txt,train
images\000007.png,labels\000007.txt,val
images\000008.png,labels\000008.txt,train
images\000009.png,labels\000009.txt,train
images\000010.png,labels\000010.txt,train
images\000011.png,labels\000011.txt,val
images\000012.png,labels\000012.txt,train
images\000013.png,labels\000013.txt,train
images\000014.png,labels\000014.txt,train
images\000015.png,labels\000015.txt,val
images\000016.png,labels\000016.txt,train
images\000017.png,labels\000017.txt,val
images\000018.png,labels\000018.txt,train
images\000019.png,labels\000019.txt,val
images\000020.png,labels\000020.txt,train
images\000021.png,labels\000021.txt,train
images\000022.png,labels\000022.txt,train
images\000023.png,labels\000023.txt,train
images\000024.png,labels\000024.txt,train
images\000025.png,labels\000025.txt,train
images\000026.png,labels\000026.txt,train
images\000027.png,labels\000027.txt,train
images\000028.png,labels\000028.txt,train
images\000029.png,labels\000029.txt,train
images\000030.png,labels\000030.txt,val
images\000031.png,labels\000031.txt,train
images\000032.png,labels\000032.txt,train
images\000033.png,labels\000033.txt,train
images\000034.png,labels\000034.txt,train
images\000035.png,labels\000035.txt,train
images\000036.png,labels\000036.txt,train
images\000037.png,labels\000037.txt,train
images\000038.png,labels\000038.txt,train
images\000039.png,labels\000039.txt,train
images\000040.png,labels\000040.txt,train
images\000041.png,labels\000041.txt,train
images\000042.png,labels\000042.txt,train
images\000043.png,labels\000043.txt,train
images\000044.png,labels\000044.txt,train
images\000045.png,labels\000045.txt,train
images\000046.png,labels\000046.txt,train
images\000047.png,labels\000047.txt,train
images\000048.png,labels\000048.txt,train
images\000049.png,labels\000049.txt,train
images\000050.png,labels\000050.txt,train
images\000051.png,labels\000051.txt,train
images\000052.png,labels\000052.txt,train
images\000053.png,labels\000053.txt,train
images\000054.png,labels\000054.txt,val
images\000055.png,labels\000055.txt,train
images\000056.png,labels\000056.txt,train
images\000057.png,labels\000057.txt,train
images\000058.png,labels\000058.txt,val
images\000059.png,labels\000059.txt,train
images\000060.png,labels\000060.txt,train
images\000061.png,labels\000061.txt,train
images\000062.png,labels\000062.txt,train
images\000063.png,labels\000063.txt,train
images\000064.png,labels\000064.txt,train
images\000065.png,labels\000065.txt,train
images\000066.png,labels\000066.txt,train
images\000067.png,labels\000067.txt,val
images\000068.png,labels\000068.txt,train
images\000069.png,labels\000069.txt,val
images\000070.png,labels\000070.txt,val
images\000071.png,labels\000071.txt,train
images\000072.png,labels\000072.txt,train
images\000073.png,labels\000073.txt,val
images\000074.png,labels\000074.txt,train
images\000075.png,labels\000075.txt,val
images\000076.png,labels\000076.txt,train
images\000077.png,labels\000077.txt,val
images\000078.png,labels\000078.txt,train
images\000079.png,labels\000079.txt,train
images\000080.png,labels\000080.txt,train
images\000081.png,labels\000081.txt,train
images\000082.png,labels\000082.txt,train
images\000083.png,labels\000083.txt,train
images\000084.png,labels\000084.txt,train
images\000085.png,labels\000085.txt,train
images\000086.png,labels\000086.txt,train
images\000087.png,labels\000087.txt,train
images\000088.png,labels\000088.txt,train
images\000089.png,labels\000089.txt,train
images\000090.png,labels\000090.txt,train
images\000091.png,labels\000091.txt,val
images\000092.png,labels\000092.txt,train
images\000093.png,labels\000093.txt,train
images\000094.png,labels\000094.txt,train
images\000095.png,labels\000095.txt,val
images\000096.png,labels\000096.txt,train
images\000097.png,labels\000097.txt,val
images\000098.png,labels\000098.txt,train
images\000099.png,labels\000099.txt,train
images\000100.png,labels\000100.txt,train
images\000101.png,labels\000101.txt,val
images\000102.png,labels\000102.txt,val
images\000103.png,labels\000103.txt,train
images\000104.png,labels\000104.txt,val
